Loading C:\Users\ameet\Documents\Github\dhan_datahq\base files\History_updated.xlsx for historical simulation ...
Total trading days available: 2609
Valid rebalance points (week-ends): 472

Starting Point-in-Time Vectorised Backtest (Sharpe/Clenow 70%/30% blend):
--------------------------------------------------------------------------------

  [1/471] Aug 2017 | Eq:    2,011,839 | RS: 0.53 | N=19 | Held: 19
  [2/471] Aug 2017 | Eq:    2,126,150 | RS: 0.48 | N=17 | Held: 19
  [3/471] Sep 2017 | Eq:    2,167,927 | RS: 0.58 | N=20 | Held: 20
  [4/471] Sep 2017 | Eq:    2,250,978 | RS: 0.58 | N=20 | Held: 20
  [5/471] Sep 2017 | Eq:    2,222,283 | RS: 0.61 | N=21 | Held: 21
  [6/471] Sep 2017 | Eq:    2,231,341 | RS: 0.54 | N=19 | Held: 20
  [7/471] Sep 2017 | Eq:    2,414,411 | RS: 0.52 | N=18 | Held: 20
  [44/471] Jun 2018 | Eq:    2,854,095 | RS: 0.40 | N=15 | Held: 15
  [45/471] Jun 2018 | Eq:    2,857,239 | RS: 0.36 | N=14 | Held: 15
  [46/471] Jun 2018 | Eq:    2,860,347 | RS: 0.33 | N=13 | Held: 15
  [47/471] Jul 2018 | Eq:    2,863,185 | RS: 0.33 | N=13 | Held: 14
  [48/471] Jul 2018 | Eq:    2,866,177 | RS: 0.34 | N=14 | Held: 13
  [49/471] Jul 2018 | Eq:    2,869,090 | RS: 0.32 | N=13 | Held: 12
  [50/471] Jul 2018 | Eq:    2,882,569 | RS: 0.41 | N=15 | Held: 15
  [51/471] Aug 2018 | Eq:    2,852,564 | RS: 0.47 | N=17 | Held: 17
  [52/471] Aug 2018 | Eq:    2,892,863 | RS: 0.43 | N=16 | Held: 16
  [53/471] Aug 2018 | Eq:    2,892,687 | RS: 0.42 | N=16 | Held: 16
  [54/471] Aug 2018 | Eq:    2,924,708 | RS: 0.43 | N=16 | Held: 16
  [55/471] Aug 2018 | Eq:    2,838,258 | RS: 0.47 | N=17 | Held: 17
  [56/471] Sep 2018 | Eq:    2,803,056 | RS: 0.44 | N=16 | Held: 16
  [57/471] Sep 2018 | Eq:    2,655,822 | RS: 0.43 | N=16 | Held: 16
  [58/471] Sep 2018 | Eq:    2,658,372 | RS: 0.35 | N=14 | Held: 15
  [59/471] Sep 2018 | Eq:    2,660,119 | RS: 0.28 | N=12 | Held: 10
  [60/471] Oct 2018 | Eq:    2,662,590 | RS: 0.25 | N=11 | Held:  8
  [61/471] Oct 2018 | Eq:    2,665,042 | RS: 0.26 | N=12 | Held:  6
  [62/471] Oct 2018 | Eq:    2,668,030 | RS: 0.26 | N=11 | Held:  6
  [63/471] Oct 2018 | Eq:    2,670,488 | RS: 0.25 | N=11 | Held:  4
  [64/471] Nov 2018 | Eq:    2,673,482 | RS: 0.34 | N=13 | Held:  4
  [65/471] Nov 2018 | Eq:    2,676,480 | RS: 0.37 | N=14 | Held:  4
  [66/471] Nov 2018 | Eq:    2,679,213 | RS: 0.36 | N=14 | Held:  3
  [67/471] Nov 2018 | Eq:    2,689,172 | RS: 0.46 | N=17 | Held: 17
  [68/471] Nov 2018 | Eq:    2,692,099 | RS: 0.37 | N=14 | Held: 17
  [69/471] Dec 2018 | Eq:    2,695,088 | RS: 0.34 | N=13 | Held: 17
  [70/471] Dec 2018 | Eq:    2,702,582 | RS: 0.40 | N=15 | Held: 16
  [71/471] Dec 2018 | Eq:    2,680,241 | RS: 0.41 | N=15 | Held: 15
  [72/471] Dec 2018 | Eq:    2,687,862 | RS: 0.41 | N=15 | Held: 15
  [73/471] Jan 2019 | Eq:    2,690,793 | RS: 0.39 | N=15 | Held: 15
  [74/471] Jan 2019 | Eq:    2,693,411 | RS: 0.40 | N=15 | Held: 13
  [75/471] Jan 2019 | Eq:    2,695,927 | RS: 0.37 | N=14 | Held: 11
  [76/471] Jan 2019 | Eq:    2,698,410 | RS: 0.32 | N=13 | Held:  9
  [77/471] Feb 2019 | Eq:    2,700,896 | RS: 0.33 | N=13 | Held:  7
  [78/471] Feb 2019 | Eq:    2,703,654 | RS: 0.32 | N=13 | Held:  6
  [79/471] Feb 2019 | Eq:    2,706,144 | RS: 0.29 | N=12 | Held:  4
  [80/471] Feb 2019 | Eq:    2,709,178 | RS: 0.32 | N=13 | Held:  4
  [81/471] Mar 2019 | Eq:    2,799,349 | RS: 0.41 | N=15 | Held: 15
  [82/471] Mar 2019 | Eq:    2,847,997 | RS: 0.47 | N=17 | Held: 17
  [83/471] Mar 2019 | Eq:    2,838,127 | RS: 0.51 | N=18 | Held: 18
  [84/471] Mar 2019 | Eq:    2,881,848 | RS: 0.48 | N=17 | Held: 18
  [85/471] Mar 2019 | Eq:    2,914,501 | RS: 0.51 | N=18 | Held: 18
  [86/471] Apr 2019 | Eq:    2,910,282 | RS: 0.51 | N=18 | Held: 18
  [87/471] Apr 2019 | Eq:    2,895,364 | RS: 0.52 | N=18 | Held: 18
  [88/471] Apr 2019 | Eq:    2,861,698 | RS: 0.46 | N=17 | Held: 17
  [89/471] Apr 2019 | Eq:    2,874,935 | RS: 0.45 | N=16 | Held: 16
  [90/471] May 2019 | Eq:    2,878,083 | RS: 0.40 | N=15 | Held: 16
  [91/471] May 2019 | Eq:    2,880,638 | RS: 0.35 | N=14 | Held: 14
  [92/471] May 2019 | Eq:    2,883,580 | RS: 0.34 | N=14 | Held: 13
  [93/471] May 2019 | Eq:    2,911,437 | RS: 0.47 | N=17 | Held: 17
  [94/471] May 2019 | Eq:    2,915,232 | RS: 0.49 | N=17 | Held: 17
  [95/471] Jun 2019 | Eq:    2,865,658 | RS: 0.46 | N=17 | Held: 17
  [96/471] Jun 2019 | Eq:    2,795,645 | RS: 0.42 | N=16 | Held: 16
  [97/471] Jun 2019 | Eq:    2,797,339 | RS: 0.40 | N=15 | Held: 11
  [98/471] Jun 2019 | Eq:    2,811,140 | RS: 0.42 | N=16 | Held: 16
  [99/471] Jul 2019 | Eq:    2,755,799 | RS: 0.42 | N=16 | Held: 16
  [100/471] Jul 2019 | Eq:    2,757,877 | RS: 0.36 | N=14 | Held: 12
  [101/471] Jul 2019 | Eq:    2,760,966 | RS: 0.33 | N=13 | Held: 12
  [102/471] Jul 2019 | Eq:    2,763,545 | RS: 0.33 | N=13 | Held: 10
  [103/471] Aug 2019 | Eq:    2,765,815 | RS: 0.30 | N=13 | Held:  7
  [104/471] Aug 2019 | Eq:    2,768,916 | RS: 0.33 | N=13 | Held:  7
  [105/471] Aug 2019 | Eq:    2,771,743 | RS: 0.31 | N=13 | Held:  6
  [106/471] Aug 2019 | Eq:    2,774,574 | RS: 0.29 | N=12 | Held:  5
  [107/471] Aug 2019 | Eq:    2,777,407 | RS: 0.33 | N=13 | Held:  4
  [108/471] Sep 2019 | Eq:    2,780,243 | RS: 0.34 | N=14 | Held:  3
  [109/471] Sep 2019 | Eq:    2,801,237 | RS: 0.41 | N=15 | Held: 15
  [110/471] Sep 2019 | Eq:    2,910,694 | RS: 0.45 | N=16 | Held: 16
  [111/471] Sep 2019 | Eq:    2,851,179 | RS: 0.46 | N=17 | Held: 17
  [112/471] Oct 2019 | Eq:    2,854,291 | RS: 0.38 | N=15 | Held: 17
  [113/471] Oct 2019 | Eq:    2,857,019 | RS: 0.39 | N=15 | Held: 15
  [114/471] Oct 2019 | Eq:    2,907,194 | RS: 0.46 | N=17 | Held: 17
  [115/471] Oct 2019 | Eq:    2,958,069 | RS: 0.45 | N=16 | Held: 16
  [116/471] Nov 2019 | Eq:    2,883,622 | RS: 0.52 | N=18 | Held: 18
  [117/471] Nov 2019 | Eq:    2,947,196 | RS: 0.48 | N=17 | Held: 17
  [118/471] Nov 2019 | Eq:    2,949,431 | RS: 0.46 | N=17 | Held: 17
  [119/471] Nov 2019 | Eq:    2,983,637 | RS: 0.47 | N=17 | Held: 17
  [120/471] Nov 2019 | Eq:    2,961,323 | RS: 0.49 | N=18 | Held: 18
  [121/471] Dec 2019 | Eq:    2,968,342 | RS: 0.43 | N=16 | Held: 17
  [122/471] Dec 2019 | Eq:    2,981,947 | RS: 0.44 | N=16 | Held: 16
  [123/471] Dec 2019 | Eq:    3,018,429 | RS: 0.45 | N=17 | Held: 17
  [124/471] Dec 2019 | Eq:    3,061,018 | RS: 0.47 | N=17 | Held: 17
  [125/471] Jan 2020 | Eq:    3,070,876 | RS: 0.54 | N=19 | Held: 19
  [126/471] Jan 2020 | Eq:    3,152,384 | RS: 0.55 | N=19 | Held: 19
  [127/471] Jan 2020 | Eq:    3,162,112 | RS: 0.60 | N=21 | Held: 21
  [128/471] Jan 2020 | Eq:    3,216,249 | RS: 0.59 | N=20 | Held: 20
  [129/471] Jan 2020 | Eq:    3,288,295 | RS: 0.53 | N=19 | Held: 19
  [130/471] Feb 2020 | Eq:    3,367,260 | RS: 0.53 | N=19 | Held: 19
  [131/471] Feb 2020 | Eq:    3,391,379 | RS: 0.48 | N=17 | Held: 18
  [132/471] Feb 2020 | Eq:    3,227,873 | RS: 0.48 | N=17 | Held: 17
  [133/471] Feb 2020 | Eq:    3,230,747 | RS: 0.39 | N=15 | Held: 15
  [134/471] Mar 2020 | Eq:    3,233,681 | RS: 0.35 | N=14 | Held: 12
  [135/471] Mar 2020 | Eq:    3,236,235 | RS: 0.27 | N=12 | Held:  9
  [136/471] Mar 2020 | Eq:    3,238,533 | RS: 0.24 | N=11 | Held:  5
  [137/471] Mar 2020 | Eq:    3,241,840 | RS: 0.21 | N=10 | Held:  4
  [138/471] Apr 2020 | Eq:    3,245,475 | RS: 0.21 | N=10 | Held:  4
  [139/471] Apr 2020 | Eq:    3,267,039 | RS: 0.46 | N=17 | Held: 17
  [140/471] Apr 2020 | Eq:    3,270,644 | RS: 0.29 | N=12 | Held: 17
  [141/471] Apr 2020 | Eq:    3,274,235 | RS: 0.28 | N=12 | Held: 17
  [142/471] May 2020 | Eq:    3,299,648 | RS: 0.47 | N=17 | Held: 17
  [143/471] May 2020 | Eq:    3,303,310 | RS: 0.28 | N=12 | Held: 17
  [144/471] May 2020 | Eq:    3,306,978 | RS: 0.29 | N=12 | Held: 17
  [145/471] May 2020 | Eq:    3,310,657 | RS: 0.30 | N=12 | Held: 17
  [146/471] May 2020 | Eq:    3,313,949 | RS: 0.36 | N=14 | Held: 16
  [147/471] Jun 2020 | Eq:    3,398,592 | RS: 0.49 | N=18 | Held: 18
  [148/471] Jun 2020 | Eq:    3,522,443 | RS: 0.47 | N=17 | Held: 17
  [149/471] Jun 2020 | Eq:    3,636,952 | RS: 0.49 | N=18 | Held: 18
  [150/471] Jun 2020 | Eq:    3,588,795 | RS: 0.53 | N=19 | Held: 19
  [151/471] Jul 2020 | Eq:    3,533,398 | RS: 0.52 | N=18 | Held: 18
  [152/471] Jul 2020 | Eq:    3,597,962 | RS: 0.53 | N=19 | Held: 19
  [153/471] Jul 2020 | Eq:    3,761,207 | RS: 0.51 | N=18 | Held: 18
  [154/471] Jul 2020 | Eq:    3,786,761 | RS: 0.52 | N=18 | Held: 18
  [155/471] Jul 2020 | Eq:    4,131,334 | RS: 0.48 | N=17 | Held: 17
  [156/471] Aug 2020 | Eq:    4,267,411 | RS: 0.54 | N=19 | Held: 19
  [157/471] Aug 2020 | Eq:    4,559,830 | RS: 0.55 | N=19 | Held: 19
  [158/471] Aug 2020 | Eq:    4,548,669 | RS: 0.61 | N=21 | Held: 21
  [159/471] Aug 2020 | Eq:    4,505,609 | RS: 0.64 | N=21 | Held: 21
  [160/471] Sep 2020 | Eq:    4,659,213 | RS: 0.57 | N=20 | Held: 20
  [161/471] Sep 2020 | Eq:    4,895,177 | RS: 0.55 | N=19 | Held: 19
  [162/471] Sep 2020 | Eq:    4,660,656 | RS: 0.58 | N=20 | Held: 20
  [163/471] Sep 2020 | Eq:    4,886,385 | RS: 0.48 | N=17 | Held: 17
  [164/471] Oct 2020 | Eq:    4,931,666 | RS: 0.46 | N=17 | Held: 17
  [165/471] Oct 2020 | Eq:    4,929,888 | RS: 0.52 | N=18 | Held: 18
  [166/471] Oct 2020 | Eq:    5,073,003 | RS: 0.49 | N=18 | Held: 18
  [167/471] Oct 2020 | Eq:    5,097,493 | RS: 0.54 | N=19 | Held: 19
  [168/471] Oct 2020 | Eq:    5,167,393 | RS: 0.49 | N=18 | Held: 18
  [169/471] Nov 2020 | Eq:    5,360,939 | RS: 0.55 | N=19 | Held: 19
  [170/471] Nov 2020 | Eq:    5,476,273 | RS: 0.58 | N=20 | Held: 20
  [171/471] Nov 2020 | Eq:    5,759,520 | RS: 0.64 | N=22 | Held: 22
  [172/471] Nov 2020 | Eq:    6,028,191 | RS: 0.67 | N=22 | Held: 22
  [173/471] Dec 2020 | Eq:    6,047,444 | RS: 0.71 | N=23 | Held: 23
  [174/471] Dec 2020 | Eq:    6,036,590 | RS: 0.73 | N=24 | Held: 24
  [175/471] Dec 2020 | Eq:    6,086,676 | RS: 0.75 | N=24 | Held: 24
  [176/471] Dec 2020 | Eq:    6,259,951 | RS: 0.49 | N=18 | Held: 24
  [177/471] Jan 2021 | Eq:    6,512,155 | RS: 0.75 | N=25 | Held: 25
  [178/471] Jan 2021 | Eq:    6,547,216 | RS: 0.77 | N=25 | Held: 25
  [179/471] Jan 2021 | Eq:    6,574,786 | RS: 0.75 | N=25 | Held: 25
  [180/471] Jan 2021 | Eq:    6,601,625 | RS: 0.71 | N=23 | Held: 24
  [181/471] Jan 2021 | Eq:    7,251,451 | RS: 0.63 | N=21 | Held: 22
  [182/471] Feb 2021 | Eq:    7,447,695 | RS: 0.73 | N=24 | Held: 24
  [183/471] Feb 2021 | Eq:    7,735,484 | RS: 0.72 | N=24 | Held: 24
  [184/471] Feb 2021 | Eq:    7,899,146 | RS: 0.71 | N=23 | Held: 23
  [185/471] Feb 2021 | Eq:    8,294,951 | RS: 0.70 | N=23 | Held: 23
  [186/471] Mar 2021 | Eq:    8,518,415 | RS: 0.73 | N=24 | Held: 24
  [187/471] Mar 2021 | Eq:    8,224,180 | RS: 0.73 | N=24 | Held: 24
  [188/471] Mar 2021 | Eq:    8,229,306 | RS: 0.65 | N=22 | Held: 23
  [189/471] Mar 2021 | Eq:    8,699,832 | RS: 0.61 | N=21 | Held: 21
  [190/471] Apr 2021 | Eq:    9,070,925 | RS: 0.51 | N=18 | Held: 21
  [191/471] Apr 2021 | Eq:    8,776,540 | RS: 0.69 | N=23 | Held: 23
  [192/471] Apr 2021 | Eq:    8,807,401 | RS: 0.62 | N=21 | Held: 21
  [193/471] Apr 2021 | Eq:    9,089,725 | RS: 0.59 | N=20 | Held: 20
  [194/471] Apr 2021 | Eq:    9,606,390 | RS: 0.64 | N=22 | Held: 22
  [195/471] May 2021 | Eq:    9,217,273 | RS: 0.66 | N=22 | Held: 22
  [196/471] May 2021 | Eq:    9,758,583 | RS: 0.68 | N=23 | Held: 23
  [197/471] May 2021 | Eq:    9,760,039 | RS: 0.74 | N=24 | Held: 24
  [198/471] May 2021 | Eq:   10,161,012 | RS: 0.75 | N=25 | Held: 25
  [199/471] Jun 2021 | Eq:   10,345,622 | RS: 0.77 | N=25 | Held: 25
  [200/471] Jun 2021 | Eq:   10,107,878 | RS: 0.78 | N=25 | Held: 25
  [201/471] Jun 2021 | Eq:   10,342,691 | RS: 0.74 | N=24 | Held: 24
  [202/471] Jun 2021 | Eq:   11,037,775 | RS: 0.75 | N=25 | Held: 25
  [203/471] Jul 2021 | Eq:   11,030,344 | RS: 0.75 | N=25 | Held: 25
  [204/471] Jul 2021 | Eq:   11,409,680 | RS: 0.74 | N=24 | Held: 24
  [205/471] Jul 2021 | Eq:   11,499,722 | RS: 0.75 | N=25 | Held: 25
  [206/471] Jul 2021 | Eq:   11,490,196 | RS: 0.72 | N=24 | Held: 24
  [207/471] Jul 2021 | Eq:   11,183,310 | RS: 0.72 | N=24 | Held: 24
  [208/471] Aug 2021 | Eq:   11,078,337 | RS: 0.70 | N=23 | Held: 23
  [209/471] Aug 2021 | Eq:   10,622,235 | RS: 0.66 | N=22 | Held: 22
  [210/471] Aug 2021 | Eq:   10,773,809 | RS: 0.58 | N=20 | Held: 20
  [211/471] Aug 2021 | Eq:   11,132,899 | RS: 0.61 | N=21 | Held: 21
  [212/471] Sep 2021 | Eq:   11,429,066 | RS: 0.67 | N=22 | Held: 22
  [213/471] Sep 2021 | Eq:   11,756,928 | RS: 0.52 | N=18 | Held: 19
  [214/471] Sep 2021 | Eq:   12,017,723 | RS: 0.70 | N=23 | Held: 23
  [215/471] Sep 2021 | Eq:   12,167,935 | RS: 0.68 | N=23 | Held: 23
  [216/471] Oct 2021 | Eq:   12,906,362 | RS: 0.69 | N=23 | Held: 23
  [217/471] Oct 2021 | Eq:   13,230,306 | RS: 0.72 | N=24 | Held: 24
  [218/471] Oct 2021 | Eq:   12,213,924 | RS: 0.52 | N=18 | Held: 22
  [219/471] Oct 2021 | Eq:   11,804,946 | RS: 0.64 | N=21 | Held: 21
  [220/471] Oct 2021 | Eq:   12,250,439 | RS: 0.60 | N=21 | Held: 21
  [221/471] Nov 2021 | Eq:   12,656,425 | RS: 0.52 | N=18 | Held: 18
  [222/471] Nov 2021 | Eq:   12,825,321 | RS: 0.66 | N=22 | Held: 22
  [223/471] Nov 2021 | Eq:   12,910,503 | RS: 0.51 | N=18 | Held: 20
  [224/471] Nov 2021 | Eq:   12,726,538 | RS: 0.51 | N=18 | Held: 19
  [225/471] Dec 2021 | Eq:   13,287,979 | RS: 0.54 | N=19 | Held: 19
  [226/471] Dec 2021 | Eq:   13,484,994 | RS: 0.60 | N=21 | Held: 21
  [227/471] Dec 2021 | Eq:   13,453,436 | RS: 0.51 | N=18 | Held: 20
  [228/471] Dec 2021 | Eq:   14,109,925 | RS: 0.50 | N=18 | Held: 18
  [229/471] Dec 2021 | Eq:   14,926,690 | RS: 0.58 | N=20 | Held: 20
  [230/471] Jan 2022 | Eq:   15,084,348 | RS: 0.62 | N=21 | Held: 21
  [231/471] Jan 2022 | Eq:   14,573,166 | RS: 0.68 | N=23 | Held: 23
  [232/471] Jan 2022 | Eq:   14,056,377 | RS: 0.58 | N=20 | Held: 21
  [233/471] Jan 2022 | Eq:   14,441,796 | RS: 0.52 | N=18 | Held: 20
  [234/471] Feb 2022 | Eq:   13,848,665 | RS: 0.56 | N=19 | Held: 19
  [235/471] Feb 2022 | Eq:   13,424,218 | RS: 0.49 | N=18 | Held: 18
  [236/471] Feb 2022 | Eq:   12,518,904 | RS: 0.44 | N=16 | Held: 18
  [237/471] Feb 2022 | Eq:   12,525,653 | RS: 0.36 | N=14 | Held: 12
  [238/471] Mar 2022 | Eq:   12,538,444 | RS: 0.37 | N=14 | Held: 11
  [239/471] Mar 2022 | Eq:   12,745,409 | RS: 0.42 | N=16 | Held: 16
  [240/471] Mar 2022 | Eq:   12,910,262 | RS: 0.48 | N=17 | Held: 17
  [241/471] Mar 2022 | Eq:   13,227,394 | RS: 0.46 | N=17 | Held: 17
  [242/471] Apr 2022 | Eq:   13,578,060 | RS: 0.52 | N=18 | Held: 18
  [243/471] Apr 2022 | Eq:   13,738,757 | RS: 0.62 | N=21 | Held: 21
  [244/471] Apr 2022 | Eq:   13,849,693 | RS: 0.50 | N=18 | Held: 21
  [245/471] Apr 2022 | Eq:   13,639,235 | RS: 0.56 | N=19 | Held: 19
  [246/471] Apr 2022 | Eq:   13,106,980 | RS: 0.49 | N=18 | Held: 18
  [247/471] May 2022 | Eq:   13,118,749 | RS: 0.40 | N=15 | Held: 16
  [248/471] May 2022 | Eq:   13,128,118 | RS: 0.32 | N=13 | Held: 12
  [249/471] May 2022 | Eq:   13,142,837 | RS: 0.37 | N=14 | Held: 12
  [250/471] May 2022 | Eq:   13,152,315 | RS: 0.35 | N=14 | Held:  8
  [251/471] Jun 2022 | Eq:   13,167,062 | RS: 0.39 | N=15 | Held:  8
  [252/471] Jun 2022 | Eq:   13,179,191 | RS: 0.37 | N=14 | Held:  6
  [253/471] Jun 2022 | Eq:   13,192,649 | RS: 0.27 | N=12 | Held:  5
  [254/471] Jun 2022 | Eq:   13,207,441 | RS: 0.30 | N=13 | Held:  5
  [255/471] Jul 2022 | Eq:   13,222,249 | RS: 0.32 | N=13 | Held:  5
  [256/471] Jul 2022 | Eq:   13,284,352 | RS: 0.41 | N=15 | Held: 15
  [257/471] Jul 2022 | Eq:   13,689,040 | RS: 0.43 | N=16 | Held: 16
  [258/471] Jul 2022 | Eq:   13,715,811 | RS: 0.51 | N=18 | Held: 18
  [259/471] Jul 2022 | Eq:   14,039,726 | RS: 0.53 | N=19 | Held: 19
  [260/471] Aug 2022 | Eq:   14,330,747 | RS: 0.55 | N=19 | Held: 19
  [261/471] Aug 2022 | Eq:   14,335,400 | RS: 0.55 | N=19 | Held: 19
  [262/471] Aug 2022 | Eq:   14,590,813 | RS: 0.57 | N=20 | Held: 20
  [263/471] Aug 2022 | Eq:   14,918,037 | RS: 0.58 | N=20 | Held: 20
  [264/471] Sep 2022 | Eq:   15,183,224 | RS: 0.60 | N=21 | Held: 21
  [265/471] Sep 2022 | Eq:   15,090,405 | RS: 0.63 | N=21 | Held: 21
  [266/471] Sep 2022 | Eq:   15,186,994 | RS: 0.59 | N=20 | Held: 20
  [267/471] Sep 2022 | Eq:   14,758,574 | RS: 0.55 | N=19 | Held: 19
  [268/471] Sep 2022 | Eq:   15,073,814 | RS: 0.51 | N=18 | Held: 19
  [269/471] Oct 2022 | Eq:   14,682,247 | RS: 0.55 | N=19 | Held: 19
  [270/471] Oct 2022 | Eq:   14,831,704 | RS: 0.49 | N=18 | Held: 18
  [271/471] Oct 2022 | Eq:   14,806,625 | RS: 0.51 | N=18 | Held: 18
  [272/471] Oct 2022 | Eq:   15,267,335 | RS: 0.53 | N=19 | Held: 19
  [273/471] Nov 2022 | Eq:   15,290,302 | RS: 0.57 | N=20 | Held: 20
  [274/471] Nov 2022 | Eq:   15,297,861 | RS: 0.56 | N=19 | Held: 20
  [275/471] Nov 2022 | Eq:   15,264,696 | RS: 0.53 | N=19 | Held: 19
  [276/471] Nov 2022 | Eq:   15,717,728 | RS: 0.57 | N=20 | Held: 20
  [277/471] Dec 2022 | Eq:   15,564,584 | RS: 0.61 | N=21 | Held: 21
  [278/471] Dec 2022 | Eq:   15,927,523 | RS: 0.57 | N=20 | Held: 20
  [279/471] Dec 2022 | Eq:   14,034,538 | RS: 0.55 | N=19 | Held: 19
  [280/471] Dec 2022 | Eq:   15,292,478 | RS: 0.41 | N=16 | Held: 16
  [281/471] Dec 2022 | Eq:   15,493,534 | RS: 0.51 | N=18 | Held: 18
  [282/471] Jan 2023 | Eq:   15,494,888 | RS: 0.51 | N=18 | Held: 18
  [283/471] Jan 2023 | Eq:   15,439,514 | RS: 0.52 | N=18 | Held: 18
  [284/471] Jan 2023 | Eq:   14,501,636 | RS: 0.50 | N=18 | Held: 18
  [285/471] Jan 2023 | Eq:   14,578,930 | RS: 0.43 | N=16 | Held: 18
  [286/471] Feb 2023 | Eq:   14,666,834 | RS: 0.44 | N=16 | Held: 16
  [287/471] Feb 2023 | Eq:   14,413,137 | RS: 0.48 | N=17 | Held: 17
  [288/471] Feb 2023 | Eq:   13,934,489 | RS: 0.46 | N=17 | Held: 17
  [289/471] Feb 2023 | Eq:   14,032,876 | RS: 0.42 | N=16 | Held: 16
  [290/471] Mar 2023 | Eq:   14,363,019 | RS: 0.45 | N=17 | Held: 17
  [291/471] Mar 2023 | Eq:   13,824,234 | RS: 0.45 | N=17 | Held: 17
  [292/471] Mar 2023 | Eq:   13,616,505 | RS: 0.40 | N=15 | Held: 15
  [293/471] Mar 2023 | Eq:   13,631,353 | RS: 0.38 | N=15 | Held: 15
